"","technology","years","retirement","scenario"
"413","Geothermal",2042,67.5,"Reference"
"414","PV dist",2042,252,"Reference"
"415","PV utility",2042,1153.16109432583,"Reference"
"416","Wind on",2042,9856.5,"Reference"
"417","Batteries",2044,1545.43942845081,"Reference"
"418","Biomass",2044,106.3,"Reference"
"419","Coal",2044,3400,"Reference"
"420","CSP",2044,469.5,"Reference"
"421","Gas CT",2044,2546.9,"Reference"
"422","Geothermal",2044,42.7,"Reference"
"423","PV dist",2044,436.618,"Reference"
"424","PV utility",2044,2847.24176106848,"Reference"
"425","Wind on",2044,2880.6,"Reference"
"426","Batteries",2046,4103.39248492812,"Reference"
"427","Biomass",2046,108.15,"Reference"
"428","Coal",2046,8145.31440479112,"Reference"
"429","Gas CC",2046,5253.6,"Reference"
"430","Gas CT",2046,5858.3,"Reference"
"431","Geothermal",2046,25,"Reference"
"432","PV dist",2046,567.6835,"Reference"
"433","PV utility",2046,5496.29895340567,"Reference"
"434","Wind off",2046,14.6499999999999,"Reference"
"435","Wind on",2046,8469.5743,"Reference"
"436","Batteries",2048,6372.66183370328,"Reference"
"437","Biomass",2048,34.8,"Reference"
"438","Coal",2048,8800.55,"Reference"
"439","Gas CC",2048,772.900000000001,"Reference"
"440","Gas CT",2048,3232.15,"Reference"
"441","Geothermal",2048,30.15,"Reference"
"442","PV dist",2048,688.199999999999,"Reference"
"443","PV utility",2048,4648.88665759148,"Reference"
"444","Wind on",2048,6477.5,"Reference"
"445","Batteries",2050,1519.27776019583,"Reference"
"446","Biomass",2050,72.1,"Reference"
"447","Coal",2050,7082.85,"Reference"
"448","Gas CC",2050,1961.6,"Reference"
"449","Gas CT",2050,13025.15,"Reference"
"450","Geothermal",2050,10,"Reference"
"451","Nuclear",2050,900.05,"Reference"
"452","PV dist",2050,568.8,"Reference"
"453","PV utility",2050,9351.06853639526,"Reference"
"454","Wind off",2050,6.35000000000014,"Reference"
"455","Wind on",2050,16419.4999,"Reference"
