"Dim1","Dim2","Dim3","Dim4","Val"
"p10","p28","2032","AC",1204.407
"p10","p28","2034","AC",1204.407
"p10","p28","2036","AC",1204.407
"p10","p28","2038","AC",1204.407
"p10","p28","2040","AC",1204.407
"p10","p28","2042","AC",1204.76442669683
"p10","p28","2044","AC",1205.80748700601
"p10","p28","2046","AC",1205.80748700601
"p10","p28","2048","AC",1205.80748700601
"p10","p28","2050","AC",1205.80748700601
"p12","p13","2010","AC",252.871
"p12","p13","2012","AC",1514.871
"p12","p13","2014","AC",2776.871
"p12","p13","2016","AC",2776.871
"p12","p13","2018","AC",2776.871
"p12","p13","2020","AC",2776.871
"p12","p13","2022","AC",2776.871
"p12","p13","2024","AC",2776.871
"p12","p13","2026","AC",2776.871
"p12","p13","2028","AC",2776.871
"p12","p13","2030","AC",2776.871
"p12","p13","2032","AC",2776.871
"p12","p13","2034","AC",2776.871
"p12","p13","2036","AC",2776.871
"p12","p13","2038","AC",2776.871
"p12","p13","2040","AC",2776.871
"p12","p13","2042","AC",2787.10227656963
"p12","p13","2044","AC",2787.10227656963
"p12","p13","2046","AC",2787.10227656963
"p12","p13","2048","AC",2787.10227656963
"p12","p13","2050","AC",2787.10227656963
"p12","p15","2010","AC",863
"p12","p15","2012","AC",1628
"p12","p15","2014","AC",1628
"p12","p15","2016","AC",1628
"p12","p15","2018","AC",1628
"p12","p15","2020","AC",1628
"p12","p15","2022","AC",1628
"p12","p15","2024","AC",1628
"p12","p15","2026","AC",1630.64586139315
"p12","p15","2028","AC",1632.69768406572
"p12","p15","2030","AC",1632.99289017917
"p12","p15","2032","AC",1633.56692201508
"p12","p15","2034","AC",1668.57606424044
"p12","p15","2036","AC",1721.93092028513
"p12","p15","2038","AC",1765.49635857488
"p12","p15","2040","AC",1961.84389717431
"p12","p15","2042","AC",2200.86406835357
"p12","p15","2044","AC",2384.5445677111
"p12","p15","2046","AC",2460.641836754
"p12","p15","2048","AC",2470.17475285547
"p12","p15","2050","AC",2588.47373412393
"p12","p25","2010","AC",319
"p12","p25","2012","AC",319
"p12","p25","2014","AC",319
"p12","p25","2016","AC",319
"p12","p25","2018","AC",319
"p12","p25","2020","AC",319
"p12","p25","2022","AC",319
"p12","p25","2024","AC",319
"p12","p25","2026","AC",319
"p12","p25","2028","AC",319
"p12","p25","2030","AC",319
"p12","p25","2032","AC",319
"p12","p25","2034","AC",319
"p12","p25","2036","AC",319
"p12","p25","2038","AC",319
"p12","p25","2040","AC",319
"p12","p25","2042","AC",319
"p12","p25","2044","AC",319
"p12","p25","2046","AC",319
"p12","p25","2048","AC",319
"p12","p25","2050","AC",319
"p13","p25","2010","AC",155.773
"p13","p25","2012","AC",155.773
"p13","p25","2014","AC",155.773
"p13","p25","2016","AC",155.773
"p13","p25","2018","AC",155.773
"p13","p25","2020","AC",155.773
"p13","p25","2022","AC",155.773
"p13","p25","2024","AC",155.773
"p13","p25","2026","AC",155.773
"p13","p25","2028","AC",155.773
"p13","p25","2030","AC",197.085351485101
"p13","p25","2032","AC",222.642051850705
"p13","p25","2034","AC",258.892982839723
"p13","p25","2036","AC",311.360286680165
"p13","p25","2038","AC",332.546852031222
"p13","p25","2040","AC",352.199793797044
"p13","p25","2042","AC",361.21928735045
"p13","p25","2044","AC",367.402818673745
"p13","p25","2046","AC",389.860004983233
"p13","p25","2048","AC",391.162982577514
"p13","p25","2050","AC",421.678723605563
"p13","p27","2010","AC",1955
"p13","p27","2012","AC",1955
"p13","p27","2014","AC",1955
"p13","p27","2016","AC",1955
"p13","p27","2018","AC",1955
"p13","p27","2020","AC",1955
"p13","p27","2022","AC",1955
"p13","p27","2024","AC",1955
"p13","p27","2026","AC",1955.49950698043
"p13","p27","2028","AC",1955.49950698043
"p13","p27","2030","AC",1955.49950698043
"p13","p27","2032","AC",1960.39502928952
"p13","p27","2034","AC",1964.11149556566
"p13","p27","2036","AC",1972.29505874357
"p13","p27","2038","AC",2000.03611944534
"p13","p27","2040","AC",2002.14549425385
"p13","p27","2042","AC",2028.82612011861
"p13","p27","2044","AC",2080.83505662118
"p13","p27","2046","AC",2348.52787442399
"p13","p27","2048","AC",2351.0907232137
"p13","p27","2050","AC",3210.40265137274
"p13","p28","2010","AC",2492
"p13","p28","2012","AC",2492
"p13","p28","2014","AC",2492
"p13","p28","2016","AC",2492
"p13","p28","2018","AC",2492
"p13","p28","2020","AC",2492
"p13","p28","2022","AC",2492
"p13","p28","2024","AC",2492
"p13","p28","2026","AC",2492
"p13","p28","2028","AC",2492
"p13","p28","2030","AC",2492
"p13","p28","2032","AC",2492
"p13","p28","2034","AC",2492
"p13","p28","2036","AC",2492
"p13","p28","2038","AC",2492
"p13","p28","2040","AC",2492
"p13","p28","2042","AC",2492
"p13","p28","2044","AC",2492
"p13","p28","2046","AC",2492
"p13","p28","2048","AC",2492
"p13","p28","2050","AC",2492
"p14","p15","2010","AC",1204
"p14","p15","2012","AC",1204
"p14","p15","2014","AC",1204
"p14","p15","2016","AC",1204
"p14","p15","2018","AC",1204
"p14","p15","2020","AC",1204
"p14","p15","2022","AC",1204
"p14","p15","2024","AC",1204
"p14","p15","2026","AC",1204
"p14","p15","2028","AC",1204
