"Dim1","Dim2","Dim3","Val"
"CoalOldScr","p2","2020",335
"CoalOldScr","p2","2026",335
"CoalOldScr","p5","2022",292.5
"CoalOldScr","p9","2012",26.85
"CoalOldScr","p9","2014",16.5
"CoalOldScr","p10","2016",50.6
"CoalOldScr","p12","2024",134
"CoalOldScr","p13","2014",49
"CoalOldScr","p13","2018",127.5
"CoalOldScr","p20","2020",307
"CoalOldScr","p20","2024",616.057597804396
"CoalOldScr","p21","2024",265.5
"CoalOldScr","p21","2028",269.5
"CoalOldScr","p21","2038",604.5
"CoalOldScr","p21","2044",100.5
"CoalOldScr","p21","2046",165
"CoalOldScr","p23","2044",33.2
"CoalOldScr","p24","2028",110
"CoalOldScr","p24","2046",59
"CoalOldScr","p24","2048",178
"CoalOldScr","p25","2024",900
"CoalOldScr","p25","2044",13.95
"CoalOldScr","p25","2046",32.5
"CoalOldScr","p26","2030",229
"CoalOldScr","p29","2028",193.5
"CoalOldScr","p29","2032",381
"CoalOldScr","p31","2018",418.5
"CoalOldScr","p31","2020",126.5
"CoalOldScr","p31","2032",770
"CoalOldScr","p33","2014",17.5
"CoalOldScr","p33","2016",76
"CoalOldScr","p33","2018",92
"CoalOldScr","p33","2024",213.5
"CoalOldScr","p33","2028",205
"CoalOldScr","p33","2030",385.95
"CoalOldScr","p33","2040",67.55
"CoalOldScr","p33","2042",65.5
"CoalOldScr","p34","2012",12.5
"CoalOldScr","p34","2018",1.89999999999998
"CoalOldScr","p34","2020",50
"CoalOldScr","p34","2022",104
"CoalOldScr","p34","2030",104
"CoalOldScr","p35","2022",26.55
"CoalOldScr","p36","2022",37.4000000000001
"CoalOldScr","p36","2042",110.5
"CoalOldScr","p36","2046",139.95
"CoalOldScr","p36","2050",222.5
"CoalOldScr","p37","2022",573.1
"CoalOldScr","p43","2022",341
"CoalOldScr","p43","2026",340
"CoalOldScr","p43","2034",438
"CoalOldScr","p43","2048",181.75
"CoalOldScr","p45","2044",108.55
"CoalOldScr","p45","2050",255.05
"CoalOldScr","p50","2024",10.5525711804148
"CoalOldScr","p51","2026",230
"CoalOldScr","p53","2036",55.75
"CoalOldScr","p53","2046",187.25
"CoalOldScr","p57","2050",47.45
"CoalOldScr","p58","2018",284
"CoalOldScr","p58","2024",322.65
"CoalOldScr","p60","2020",325
"CoalOldScr","p63","2024",187.78002583759
"CoalOldScr","p63","2030",656.71997416241
"CoalOldScr","p67","2046",305
"CoalOldScr","p76","2050",284.05
"CoalOldScr","p79","2022",206.8
"CoalOldScr","p79","2034",118.5
"CoalOldScr","p79","2036",124.45
"CoalOldScr","p79","2040",151.55
"CoalOldScr","p79","2042",153.85
"CoalOldScr","p81","2012",11.1
"CoalOldScr","p81","2024",889
"CoalOldScr","p81","2028",60
"CoalOldScr","p83","2026",851.5
"CoalOldScr","p90","2020",39
"CoalOldScr","p91","2016",125
"CoalOldScr","p92","2030",264
"CoalOldScr","p92","2048",615.5
"CoalOldScr","p93","2014",62
"CoalOldScr","p93","2028",134
"CoalOldScr","p93","2030",335
"CoalOldScr","p93","2040",58
"CoalOldScr","p93","2044",112.5
"CoalOldScr","p94","2016",48.5
"CoalOldScr","p94","2046",362
"CoalOldScr","p94","2048",42.15
"CoalOldScr","p97","2026",272
"CoalOldScr","p99","2022",52.5
"CoalOldScr","p101","2022",192.5
"CoalOldScr","p101","2032",116
"CoalOldScr","p101","2042",146.5
"CoalOldScr","p101","2046",192.5
"CoalOldScr","p101","2048",146.5
"CoalOldScr","p103","2020",34.55
"CoalOldScr","p103","2024",126.5
"CoalOldScr","p103","2038",130
"CoalOldScr","p103","2042",167
"CoalOldScr","p103","2048",773
"CoalOldScr","p105","2024",597
"CoalOldScr","p107","2022",111.25
"CoalOldScr","p107","2024",785.5
"CoalOldScr","p107","2028",650
"CoalOldScr","p107","2032",97.75
"CoalOldScr","p108","2020",68.5
"CoalOldScr","p109","2016",197.5
"CoalOldScr","p109","2020",136
"CoalOldScr","p109","2046",206
"CoalOldScr","p109","2048",150
"CoalOldScr","p109","2050",148.5
"CoalOldScr","p111","2012",108
"CoalOldScr","p112","2020",180
"CoalOldScr","p112","2044",300
"CoalOldScr","p112","2046",300
"CoalOldScr","p112","2050",1340
"CoalOldScr","p114","2026",652.5
"CoalOldScr","p115","2014",369
"CoalOldScr","p115","2032",15.7
"CoalOldScr","p115","2034",15.75
"CoalOldScr","p115","2042",409.3
"CoalOldScr","p115","2044",409.25
"CoalOldScr","p116","2012",74
"CoalOldScr","p116","2020",25
"CoalOldScr","p116","2022",644
"CoalOldScr","p116","2024",40
"CoalOldScr","p116","2042",276
"CoalOldScr","p116","2048",651.5
"CoalOldScr","p116","2050",325.5
"CoalOldScr","p122","2012",154.5
"CoalOldScr","p122","2014",16.25
"CoalOldScr","p122","2018",25.5
"CoalOldScr","p122","2020",65.2500000000002
"CoalOldScr","p122","2024",504.764874472284
"CoalOldScr","p122","2044",434.835125527715
"CoalOldScr","p122","2046",767.65
"CoalOldScr","p123","2022",335
"CoalOldScr","p126","2024",231.5
"CoalOldScr","p127","2020",342.2
"CoalOldScr","p127","2024",75
"CoalOldScr","p128","2012",90.5
"CoalOldScr","p130","2024",219.25
"CoalOldUns","p9","2014",16.5
"CoalOldUns","p12","2022",127
"CoalOldUns","p13","2012",790
"CoalOldUns","p20","2016",65
"CoalOldUns","p23","2014",29.75
"CoalOldUns","p24","2024",46.5
"CoalOldUns","p24","2036",51
"CoalOldUns","p25","2016",86
"CoalOldUns","p28","2016",130
"CoalOldUns","p28","2020",1125
"CoalOldUns","p31","2014",280
"CoalOldUns","p32","2014",10.8
"CoalOldUns","p33","2012",106.5
